tile_id,old_split,old_policy,new_split,new_policy,block_count,compatibility,action
PNOA_2015_GAL-W_510-4682_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_510-4706_ORT-CLA-COL,val,uniform,train,balanced,1535,no,regenerate_balanced
PNOA_2015_GAL-W_512-4664_ORT-CLA-COL,train,balanced,train,balanced,1548,yes,reuse_verified
PNOA_2015_GAL-W_510-4704_ORT-CLA-COL,train,balanced,train,balanced,1575,yes,reuse_verified
PNOA_2015_GAL-W_512-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4662_ORT-CLA-COL,train,balanced,train,balanced,1598,yes,reuse_verified
PNOA_2015_GAL-W_512-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4674_ORT-CLA-COL,val,uniform,train,balanced,1599,no,regenerate_balanced
PNOA_2015_GAL-W_512-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4678_ORT-CLA-COL,train,balanced,train,balanced,1587,yes,reuse_verified
PNOA_2015_GAL-W_512-4686_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4684_ORT-CLA-COL,val,uniform,train,balanced,1586,no,regenerate_balanced
PNOA_2015_GAL-W_512-4680_ORT-CLA-COL,train,balanced,train,balanced,1593,yes,reuse_verified
PNOA_2015_GAL-W_512-4704_ORT-CLA-COL,val,uniform,train,balanced,1459,no,regenerate_balanced
PNOA_2015_GAL-W_512-4682_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_512-4706_ORT-CLA-COL,train,balanced,train,balanced,1523,yes,reuse_verified
PNOA_2015_GAL-W_514-4666_ORT-CLA-COL,train,balanced,train,balanced,1577,yes,reuse_verified
PNOA_2015_GAL-W_514-4664_ORT-CLA-COL,train,balanced,train,balanced,1597,yes,reuse_verified
PNOA_2015_GAL-W_514-4662_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4672_ORT-CLA-COL,train,balanced,train,balanced,1591,yes,reuse_verified
PNOA_2015_GAL-W_514-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4678_ORT-CLA-COL,train,balanced,train,balanced,1497,yes,reuse_verified
PNOA_2015_GAL-W_514-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_514-4682_ORT-CLA-COL,train,balanced,train,balanced,1583,yes,reuse_verified
PNOA_2015_GAL-W_514-4680_ORT-CLA-COL,train,balanced,train,balanced,1586,yes,reuse_verified
PNOA_2015_GAL-W_514-4686_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_514-4706_ORT-CLA-COL,train,balanced,train,balanced,1596,yes,reuse_verified
PNOA_2015_GAL-W_514-4704_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4662_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_516-4666_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_516-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4674_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_516-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4678_ORT-CLA-COL,train,balanced,train,balanced,1571,yes,reuse_verified
PNOA_2015_GAL-W_516-4680_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4682_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_516-4686_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4664_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_518-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4676_ORT-CLA-COL,train,balanced,train,balanced,1599,yes,reuse_verified
PNOA_2015_GAL-W_518-4678_ORT-CLA-COL,train,balanced,train,balanced,1480,yes,reuse_verified
PNOA_2015_GAL-W_518-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4680_ORT-CLA-COL,train,balanced,train,balanced,1505,yes,reuse_verified
PNOA_2015_GAL-W_518-4682_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4686_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_518-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4678_ORT-CLA-COL,train,balanced,train,balanced,1596,yes,reuse_verified
PNOA_2015_GAL-W_520-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4676_ORT-CLA-COL,train,balanced,train,balanced,1565,yes,reuse_verified
PNOA_2015_GAL-W_520-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4680_ORT-CLA-COL,val,uniform,train,balanced,1464,no,regenerate_balanced
PNOA_2015_GAL-W_520-4682_ORT-CLA-COL,train,balanced,train,balanced,1543,yes,reuse_verified
PNOA_2015_GAL-W_522-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_520-4686_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_522-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4680_ORT-CLA-COL,train,balanced,train,balanced,1329,yes,reuse_verified
PNOA_2015_GAL-W_522-4678_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_522-4682_ORT-CLA-COL,train,balanced,train,balanced,1391,yes,reuse_verified
PNOA_2015_GAL-W_522-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4666_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_524-4668_ORT-CLA-COL,val,uniform,train,balanced,1594,no,regenerate_balanced
PNOA_2015_GAL-W_524-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4680_ORT-CLA-COL,val,uniform,train,balanced,1503,no,regenerate_balanced
PNOA_2015_GAL-W_524-4678_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_524-4682_ORT-CLA-COL,train,balanced,train,balanced,1548,yes,reuse_verified
PNOA_2015_GAL-W_524-4684_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4682_ORT-CLA-COL,train,balanced,train,balanced,1525,yes,reuse_verified
PNOA_2015_GAL-W_526-4680_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4678_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_526-4684_ORT-CLA-COL,train,balanced,train,balanced,1598,yes,reuse_verified
PNOA_2015_GAL-W_528-4664_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4666_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4668_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4670_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4672_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4674_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4676_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4684_ORT-CLA-COL,train,balanced,train,balanced,1350,yes,reuse_verified
PNOA_2015_GAL-W_528-4678_ORT-CLA-COL,val,uniform,train,balanced,1600,no,regenerate_balanced
PNOA_2015_GAL-W_528-4682_ORT-CLA-COL,train,balanced,train,balanced,1563,yes,reuse_verified
PNOA_2015_GAL-W_528-4680_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_528-4698_ORT-CLA-COL,train,balanced,train,balanced,1575,yes,reuse_verified
PNOA_2015_GAL-W_530-4684_ORT-CLA-COL,train,balanced,train,balanced,1553,yes,reuse_verified
PNOA_2015_GAL-W_530-4682_ORT-CLA-COL,train,balanced,train,balanced,1567,yes,reuse_verified
PNOA_2015_GAL-W_530-4698_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_530-4700_ORT-CLA-COL,train,balanced,train,balanced,1574,yes,reuse_verified
PNOA_2015_GAL-W_532-4744_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_534-4746_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_536-4746_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_534-4748_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_536-4748_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_536-4750_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_538-4746_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_552-4810_ORT-CLA-COL,train,balanced,val,uniform,1366,no,regenerate_uniform
PNOA_2015_GAL-W_540-4750_ORT-CLA-COL,train,balanced,train,balanced,1600,yes,reuse_verified
PNOA_2015_GAL-W_552-4812_ORT-CLA-COL,train,balanced,val,uniform,1336,no,regenerate_uniform
PNOA_2015_GAL-W_546-4802_ORT-CLA-COL,train,balanced,excluded_buffer,uniform,1600,no,exclude_buffer
PNOA_2015_GAL-W_552-4816_ORT-CLA-COL,val,uniform,val,uniform,1280,yes,reuse_verified
PNOA_2015_GAL-W_552-4814_ORT-CLA-COL,train,balanced,val,uniform,1324,no,regenerate_uniform
PNOA_2015_GAL-W_568-4834_ORT-CLA-COL,train,balanced,val,uniform,532,no,regenerate_uniform
PNOA_2015_GAL-W_554-4810_ORT-CLA-COL,train,balanced,val,uniform,1587,no,regenerate_uniform
PNOA_2015_GAL-W_570-4836_ORT-CLA-COL,train,balanced,val,uniform,509,no,regenerate_uniform
PNOA_2015_GAL-W_572-4838_ORT-CLA-COL,train,balanced,val,uniform,37,no,regenerate_uniform
PNOA_2015_GAL-W_554-4812_ORT-CLA-COL,train,balanced,val,uniform,1515,no,regenerate_uniform
PNOA_2015_GAL-W_572-4836_ORT-CLA-COL,train,balanced,val,uniform,1494,no,regenerate_uniform
PNOA_2015_GAL-W_574-4834_ORT-CLA-COL,train,balanced,val,uniform,1592,no,regenerate_uniform
PNOA_2015_GAL-W_572-4834_ORT-CLA-COL,train,balanced,val,uniform,1577,no,regenerate_uniform
PNOA_2015_GAL-W_574-4836_ORT-CLA-COL,train,balanced,val,uniform,1596,no,regenerate_uniform
PNOA_2015_GAL-W_574-4838_ORT-CLA-COL,train,balanced,val,uniform,1593,no,regenerate_uniform
PNOA_2015_GAL-W_576-4836_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_576-4834_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_576-4838_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_578-4804_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_580-4804_ORT-CLA-COL,train,balanced,val,uniform,1588,no,regenerate_uniform
PNOA_2015_GAL-W_578-4806_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_580-4806_ORT-CLA-COL,train,balanced,val,uniform,1511,no,regenerate_uniform
PNOA_2015_GAL-W_580-4808_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_580-4810_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_582-4804_ORT-CLA-COL,train,balanced,val,uniform,1567,no,regenerate_uniform
PNOA_2015_GAL-W_582-4806_ORT-CLA-COL,train,balanced,val,uniform,1579,no,regenerate_uniform
PNOA_2015_GAL-W_582-4808_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_582-4810_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_582-4812_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_582-4814_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_584-4804_ORT-CLA-COL,train,balanced,val,uniform,1583,no,regenerate_uniform
PNOA_2015_GAL-W_584-4806_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2015_GAL-W_584-4808_ORT-CLA-COL,val,uniform,val,uniform,1600,yes,reuse_verified
PNOA_2015_GAL-W_584-4810_ORT-CLA-COL,train,balanced,val,uniform,1600,no,regenerate_uniform
PNOA_2016_GAL_E_568-4640_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_568-4642_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_578-4650_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_606-4836_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_606-4838_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_606-4840_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_608-4836_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_608-4838_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_608-4840_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4692_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4694_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4696_ORT-CLA-COL,test,uniform,test,uniform,1580,yes,reuse_verified
PNOA_2016_GAL_E_610-4698_ORT-CLA-COL,test,uniform,test,uniform,1493,yes,reuse_verified
PNOA_2016_GAL_E_610-4700_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4836_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4838_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_610-4840_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4692_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4696_ORT-CLA-COL,test,uniform,test,uniform,1434,yes,reuse_verified
PNOA_2016_GAL_E_612-4694_ORT-CLA-COL,test,uniform,test,uniform,1549,yes,reuse_verified
PNOA_2016_GAL_E_612-4698_ORT-CLA-COL,test,uniform,test,uniform,1585,yes,reuse_verified
PNOA_2016_GAL_E_612-4700_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4758_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4760_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4762_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4838_ORT-CLA-COL,test,uniform,test,uniform,1349,yes,reuse_verified
PNOA_2016_GAL_E_612-4840_ORT-CLA-COL,test,uniform,test,uniform,1156,yes,reuse_verified
PNOA_2016_GAL_E_612-4764_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_612-4836_ORT-CLA-COL,test,uniform,test,uniform,1472,yes,reuse_verified
PNOA_2016_GAL_E_614-4694_ORT-CLA-COL,test,uniform,test,uniform,1541,yes,reuse_verified
PNOA_2016_GAL_E_614-4692_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4696_ORT-CLA-COL,test,uniform,test,uniform,1569,yes,reuse_verified
PNOA_2016_GAL_E_614-4698_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4700_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4756_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4758_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4760_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4762_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4764_ORT-CLA-COL,test,uniform,test,uniform,1598,yes,reuse_verified
PNOA_2016_GAL_E_614-4766_ORT-CLA-COL,test,uniform,test,uniform,1596,yes,reuse_verified
PNOA_2016_GAL_E_614-4836_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_614-4840_ORT-CLA-COL,test,uniform,test,uniform,1541,yes,reuse_verified
PNOA_2016_GAL_E_614-4838_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_616-4692_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_616-4694_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
PNOA_2016_GAL_E_616-4696_ORT-CLA-COL,test,uniform,test,uniform,1535,yes,reuse_verified
PNOA_2016_GAL_E_616-4698_ORT-CLA-COL,test,uniform,test,uniform,1600,yes,reuse_verified
